Name und Vorname, czwartek NP lub czwartek P lub sroda P, Adresse
Adam Applebaum,czwartek NP,https://github.com/abc/so2_lab
Dawid Dobry,czwartek NP,https://github.com/ddeed/SO2L
Mareg Magiczny,czwartek P,http://github.com/fsfsfs/SystemyOperacyjne2
Kasia Kaminska,czwartek NP,http://github.com/vist/SystemyOperacyjne2-Lab
Sara Sprytna,czwartek NP,git@github.com:demok/SO2-lab.git
Tomek Twarzowy,czwartek P,git@github.com:ameb/PWrSO2.git
Alina Balladyna,czwartek P,https://github.com/coco-jumbo/SO2-lab
Dorota Doborowa,sroda P,https://github.com/demo/SO2-lab
Doktor Strange,sroda P,git@github.com:ameb/PWrSO2
Wanda Maximoff,sroda P,git@github.com:coco-jumbo/SO2-lab
